,Borough,Neighborhood,ID,Name
0,Bronx,Co-op City,4c9d5f2654c8a1cd2e71834b,Guang Hui Chinese Restaurant
1,Bronx,Eastchester,4dabc3dc93a04642f09ccabd,Xing Lung Chinese Restaurant
2,Bronx,Kingsbridge,4e3b11c98877b00cfc27a483,Guan Hin Restaurant
3,Bronx,Norwood,4e388d77887777123dca9cab,New Ming Ling
4,Bronx,Norwood,4e41d2c4b61ca5ba3b1f9c6b,Ming Liang Kitchen
5,Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant
6,Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant
7,Bronx,Bedford Park,4e2e08021838f1c552b6b8eb,Choi Yuan - Chinese Restaurant
8,Bronx,University Heights,4d6063aae4fe5481abaf7f9e,NO.1 restaurant
9,Bronx,Morris Heights,4c0315d89a7920a1f67ccf79,Xing Sheng
10,Bronx,Fordham,566f33e7498e44c2501bda81,Panda Express
11,Bronx,Fordham,4dfd3a33aeb7594e86230769,Little China City
12,Bronx,West Farms,4cd0d4d77b6854810401c4f8,Food Hai
13,Bronx,High  Bridge,4da0c70b7aee5481bda6b2fe,wah yong
14,Bronx,High  Bridge,500742d3e4b06d3d9445b80f,Jing Xin Chinese Restaurant
15,Bronx,Morrisania,4cfece683f846dcb83408d37,Great Wall Chinese Food
16,Bronx,Soundview,4cc63e36bde8f04dcbfeb54b,Golden City Chinese Restaurant
17,Bronx,Soundview,4e656e8252b1260c14683b4b,Kee Hing Restaurant
18,Bronx,Soundview,4e6d29a0b0fb273d16817e6c,King Dragon Restaurant
19,Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant
20,Bronx,Van Nest,4c7d29b2d598a09354f6c162,Happy Garden
21,Bronx,Van Nest,4ed7c4dae5fabbd8a0a40b24,Great Wall Chinese Restaurant
22,Bronx,North Riverdale,4ca4fda4d971b1f77da5f2e0,Golden Phoenix Chinese Restaurant
23,Bronx,Pelham Bay,4b5f3d97f964a52074af29e3,Lee Xing
24,Bronx,Edgewater Park,4cf00d9262ef6dcb5847025a,Xing hui linda
25,Bronx,Edgewater Park,4cb794b5bac9370417c5d57c,Hawaii Chinese Kitchen
26,Bronx,Olinville,4c102bf0ce640f471a8d3952,k & Q Chinese Food
27,Bronx,Pelham Gardens,4eadecbf9911d5c95181ee84,Yummy House
28,Bronx,Concourse,4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant
29,Bronx,Unionport,4c3e68db0596c9282a558478,Golden Jaragua
30,Bronx,Claremont Village,4c2bc4c8b34ad13a9c50eace,Sing Sing Kitchen
31,Bronx,Claremont Village,4ca3bffa1ee76dcb1ee6fbdd,Empire King Chinese Food
32,Bronx,Concourse Village,4dab2c191e72c1ab9c0481bc,Good Taste Chinese Restaurant
33,Bronx,Mount Eden,4e4d0475bd413c4cc66e056d,China Wok Chinese Restaurant
34,Bronx,Mount Eden,4d292af9888af04d8cedccaf,King Dragon
35,Bronx,Mount Eden,4c0315d89a7920a1f67ccf79,Xing Sheng
36,Bronx,Bronxdale,4c3f7f2eda3dc928b8f6c5b9,Peking Kitchen
37,Bronx,Allerton,4c7dbf7f10916dcba78e2a96,Chef King
38,Bronx,Kingsbridge Heights,4c7851e03badb1f7137c4b54,Yu Hua Restaurant
39,Bronx,Kingsbridge Heights,4d38f278bb0d721ed81459e3,New Yung Hong Chinese Restaurant
